cod_pedido,cod_articulo,nombre_articulo,nucleo,grosor,firmeza,sexo,altura,peso,imc,valoracion,molestias_antes,molestias_despues,duerme_en_pareja
4637,662,Acorde,espumación HR,28 cm,5,hombre,1.700,70.000,24.000,5.000,0,0,0
4637,662,Acorde,espumación HR,28 cm,5,hombre,1.700,70.000,24.000,5.000,0,0,0
5752,662,Acorde,espumación HR,28 cm,5,mujer,1.690,62.000,22.000,2.000,0,0,1
5752,662,Acorde,espumación HR,28 cm,5,hombre,1.900,125.000,35.000,2.000,0,0,1
5752,662,Acorde,espumación HR,28 cm,5,mujer,1.690,62.000,22.000,2.000,0,0,1
5752,662,Acorde,espumación HR,28 cm,5,hombre,1.900,125.000,35.000,2.000,0,0,1
6619,662,Acorde,espumación HR,28 cm,5,mujer,1.630,58.000,22.000,5.000,1,0,1
6619,662,Acorde,espumación HR,28 cm,5,hombre,1.700,60.000,21.000,5.000,1,0,1
6619,662,Acorde,espumación HR,28 cm,5,mujer,1.630,58.000,22.000,5.000,1,0,1
6619,662,Acorde,espumación HR,28 cm,5,hombre,1.700,60.000,21.000,5.000,1,0,1
7168,662,Acorde,espumación HR,28 cm,5,mujer,1.650,60.000,22.000,5.000,0,0,1
7168,662,Acorde,espumación HR,28 cm,5,hombre,1.800,70.000,22.000,5.000,1,0,1
7168,662,Acorde,espumación HR,28 cm,5,mujer,1.650,60.000,22.000,5.000,0,0,1
7168,662,Acorde,espumación HR,28 cm,5,hombre,1.800,70.000,22.000,5.000,1,0,1
20347,887,Active Visco,espumación HR,22 cm,4,hombre,1.860,84.000,24.000,5.000,0,0,0
21167,887,Active Visco,espumación HR,22 cm,4,mujer,1.650,70.000,26.000,4.000,1,0,1
21167,887,Active Visco,espumación HR,22 cm,4,hombre,1.800,75.000,23.000,4.000,1,0,1
21408,887,Active Visco,espumación HR,22 cm,4,hombre,1.780,110.000,35.000,4.000,0,0,0
24666,887,Active Visco,espumación HR,22 cm,4,mujer,1.650,65.000,24.000,5.000,0,0,0
17846,1037,Aitana,espumación HR,24 cm,3,mujer,1.500,50.000,22.000,4.000,0,0,0
6705,707,Andrómeda (Pikolín),espumación HR,28 cm,5,mujer,1.650,55.000,20.000,5.000,0,0,1
6705,707,Andrómeda (Pikolín),espumación HR,28 cm,5,hombre,1.700,70.000,24.000,5.000,0,0,1
6705,707,Andrómeda (Pikolín),espumación HR,28 cm,5,mujer,1.650,55.000,20.000,5.000,0,0,1
6705,707,Andrómeda (Pikolín),espumación HR,28 cm,5,hombre,1.700,70.000,24.000,5.000,0,0,1
8482,707,Andrómeda (Pikolín),espumación HR,28 cm,5,hombre,1.830,93.000,28.000,5.000,1,1,0
8746,707,Andrómeda (Pikolín),espumación HR,28 cm,5,hombre,1.730,80.000,27.000,4.000,0,1,0
13503,947,Arce CM11904,muelles,26 cm,3,hombre,1.850,80.000,23.000,5.000,0,0,0
18205,947,Arce CM11904,muelles,25 cm,3,mujer,1.700,60.000,21.000,4.000,0,0,0
21259,947,Arce CM11904,muelles,25 cm,3,hombre,1.900,80.000,22.000,5.000,0,0,0
13900,923,Arken (Pikolín),espumación HR,24 cm,2,mujer,1.700,72.000,25.000,5.000,0,0,0
14083,923,Arken (Pikolín),espumación HR,24 cm,2,hombre,1.700,80.000,28.000,4.000,0,0,0
16221,923,Arken (Pikolín),espumación HR,24 cm,3,hombre,1.790,80.000,25.000,5.000,0,0,0
18933,923,Arken (Pikolín),espumación HR,24 cm,3,mujer,1.550,74.000,31.000,5.000,0,0,0
19875,923,Arken (Pikolín),espumación HR,24 cm,3,hombre,1.950,94.000,25.000,5.000,0,0,0
19962,923,Arken (Pikolín),espumación HR,24 cm,3,hombre,1.760,78.000,25.000,5.000,1,0,0
20520,923,Arken (Pikolín),espumación HR,24 cm,3,mujer,1.670,63.000,23.000,4.000,1,1,0
21669,923,Arken (Pikolín),espumación HR,24 cm,3,hombre,1.650,70.000,26.000,5.000,1,1,0
21110,1051,Aros (Pikolín),muelles Ensacados,22 cm,4,hombre,1.790,95.000,30.000,4.000,0,0,0
21296,1051,Aros (Pikolín),muelles Ensacados,22 cm,4,mujer,1.640,62.000,23.000,4.000,0,0,0
21571,1051,Aros (Pikolín),muelles Ensacados,22 cm,4,mujer,1.650,65.000,24.000,5.000,0,0,0
17204,732,ART 18 Nova,espumación HR,18 cm,4,hombre,1.760,58.000,19.000,4.000,0,0,0
19779,732,ART 18 Nova,espumación HR,18 cm,4,mujer,1.500,72.000,32.000,5.000,0,0,0
5976,1041,Attic,espumación HR,27 cm,4,hombre,1.800,90.000,28.000,5.000,0,0,0
6424,1041,Attic,espumación HR,27 cm,4,hombre,1.940,80.000,21.000,4.000,0,0,0
6701,1041,Attic,espumación HR,27 cm,4,mujer,1.600,50.000,20.000,5.000,0,0,1
6701,1041,Attic,espumación HR,27 cm,4,hombre,2.000,100.000,25.000,5.000,0,0,1
6761,1041,Attic,espumación HR,27 cm,4,mujer,1.640,67.000,25.000,2.000,1,1,1
6761,1041,Attic,espumación HR,27 cm,4,hombre,1.680,80.000,28.000,2.000,0,0,1
3524,483,Aurum,muelles Ensacados,30 cm,4,mujer,1.600,55.000,21.000,4.000,1,1,1
3524,483,Aurum,muelles Ensacados,30 cm,4,hombre,1.750,70.000,23.000,5.000,1,1,1
3524,483,Aurum,muelles Ensacados,30 cm,4,mujer,1.600,55.000,21.000,4.000,1,1,1
3524,483,Aurum,muelles Ensacados,30 cm,4,hombre,1.750,70.000,23.000,5.000,1,1,1
3666,483,Aurum,muelles Ensacados,30 cm,4,mujer,1.670,65.000,23.000,4.000,0,0,1
3666,483,Aurum,muelles Ensacados,30 cm,4,hombre,1.680,70.000,25.000,4.000,1,0,1
3666,483,Aurum,muelles Ensacados,30 cm,4,mujer,1.670,65.000,23.000,4.000,0,0,1
3666,483,Aurum,muelles Ensacados,30 cm,4,hombre,1.680,70.000,25.000,4.000,1,0,1
3779,483,Aurum,muelles Ensacados,30 cm,4,mujer,1.700,65.000,22.000,4.000,1,0,1
3779,483,Aurum,muelles Ensacados,30 cm,4,hombre,1.800,80.000,25.000,4.000,1,0,1
3779,483,Aurum,muelles Ensacados,30 cm,4,mujer,1.700,65.000,22.000,4.000,1,0,1
3779,483,Aurum,muelles Ensacados,30 cm,4,hombre,1.800,80.000,25.000,4.000,1,0,1
3926,483,Aurum,muelles Ensacados,30 cm,4,mujer,1.600,62.000,24.000,5.000,1,0,1
