COD PEDIDO,COD ARTICULO,NOMBRE ARTICULO,NUCLEO,GROSOR,FIRMEZA,ID MUJER1,MUJER1 altura,MUJER1 peso,MUJER1 imc,MUJER1 VALORACION,MUJER1 MOLESTIAS ANTES,MUJER1 MOLESTIAS DESPUES,ID HOMBRE1,HOMBRE1 altura,HOMBRE1 peso,HOMBRE1 imc,HOMBRE1 VALORACION,HOMBRE1 MOLESTIAS ANTES,HOMBRE1 MOLESTIAS DESPUES,ID NIÑO,NIÑO/A altura,NIÑO/A peso,NIÑO/A imc,NIÑO/A valoracion
4637,662,Acorde,espumación HR,28 cm,5,,,,,,,,4070,"1,7",70,24,5,no,no,,,,,
4637,662,Acorde,espumación HR,28 cm,5,,,,,,,,6204,"1,7",70,24,5,no,no,,,,,
5752,662,Acorde,espumación HR,28 cm,5,3943,"1,69",62,22,2,-,-,3942,"1,9",125,35,2,-,-,,,,,
5752,662,Acorde,espumación HR,28 cm,5,6091,"1,69",62,22,2,-,-,6090,"1,9",125,35,2,-,-,,,,,
6619,662,Acorde,espumación HR,28 cm,5,3706,"1,63",58,22,5,si,no,3705,"1,7",60,21,5,si,no,,,,,
6619,662,Acorde,espumación HR,28 cm,5,5863,"1,63",58,22,5,si,no,5862,"1,7",60,21,5,si,no,,,,,
7168,662,Acorde,espumación HR,28 cm,5,3664,"1,65",60,22,5,no,no,3663,"1,8",70,22,5,si,no,,,,,
7168,662,Acorde,espumación HR,28 cm,5,5822,"1,65",60,22,5,no,no,5821,"1,8",70,22,5,si,no,,,,,
20347,887,Active Visco,espumación HR,22 cm,4,,,,,,,,2370,"1,86",84,24,5,no,no,,,,,
21167,887,Active Visco,espumación HR,22 cm,4,2381,"1,65",70,26,4,si,no,2382,"1,8",75,23,4,si,no,,,,,
21408,887,Active Visco,espumación HR,22 cm,4,,,,,,,,2393,"1,78",110,35,4,no,no,,,,,
24666,887,Active Visco,espumación HR,22 cm,4,2371,"1,65",65,24,5,no,no,,,,,,,,,,,,
17846,1037,Aitana,espumación HR,24 cm,3,2239,"1,5",50,22,4,-,-,,,,,,,,,,,,
6705,707,Andrómeda (Pikolín),espumación HR,28 cm,5,3599,"1,65",55,20,5,no,no,3598,"1,7",70,24,5,no,no,,,,,
6705,707,Andrómeda (Pikolín),espumación HR,28 cm,5,5761,"1,65",55,20,5,no,no,5760,"1,7",70,24,5,no,no,,,,,
8482,707,Andrómeda (Pikolín),espumación HR,28 cm,5,,,,,,,,4148,"1,83",93,28,5,si,si,,,,,
8635,707,Andrómeda (Pikolín),espumación HR,28 cm,5,4146,"1,71",70,24,"4,5",no,no,4147,"1,87",80,23,"4,5",no,-,,,,,
8746,707,Andrómeda (Pikolín),espumación HR,28 cm,5,,,,,,,,4145,"1,73",80,27,4,no,si,,,,,
13503,947,Arce CM11904,muelles,26 cm,3,,,,,,,,2046,"1,85",80,23,5,no,no,,,,,
16530,947,Arce CM11904,muelles,25 cm,3,,,,,,,,,,,,,,,2757,"1,51",35,15,5
18205,947,Arce CM11904,muelles,25 cm,3,2798,"1,7",60,21,4,no,no,,,,,,,,,,,,
21259,947,Arce CM11904,muelles,25 cm,3,,,,,,,,2861,"1,9",80,22,5,-,-,,,,,
13900,923,Arken (Pikolín),espumación HR,24 cm,2,5299,"1,7",72,25,5,no,no,,,,,,,,,,,,
14083,923,Arken (Pikolín),espumación HR,24 cm,2,,,,,,,,5308,"1,7",80,28,4,no,no,,,,,
